"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 01:18:14 GMT 2024","Wed Jun 26 01:18:14 GMT 2024","714","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o ultimo produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 01:18:16 GMT 2024","Wed Jun 26 01:18:16 GMT 2024","405","chromium","e2e/Login.spec.ts","","","","não realizar login quando senha em branco",""
"passed","Wed Jun 26 01:18:15 GMT 2024","Wed Jun 26 01:18:15 GMT 2024","352","chromium","e2e/Login.spec.ts","","","","não realizar login com usuario incorreto",""
"passed","Wed Jun 26 01:18:15 GMT 2024","Wed Jun 26 01:18:16 GMT 2024","362","chromium","e2e/Login.spec.ts","","","","não realizar login com senha incorreto",""
"passed","Wed Jun 26 01:18:18 GMT 2024","Wed Jun 26 01:18:18 GMT 2024","682","chromium","e2e/UserRegistration.spec.ts","","","","Cep obrigatorio",""
"passed","Wed Jun 26 01:18:14 GMT 2024","Wed Jun 26 01:18:15 GMT 2024","389","chromium","e2e/Login.spec.ts","","","","realizar login com sucesso",""
"passed","Wed Jun 26 01:18:16 GMT 2024","Wed Jun 26 01:18:17 GMT 2024","655","chromium","e2e/UserRegistration.spec.ts","","","","Primeiro nome obrigatorio",""
"passed","Wed Jun 26 01:18:11 GMT 2024","Wed Jun 26 01:18:12 GMT 2024","1205","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais barato",""
"passed","Wed Jun 26 01:18:12 GMT 2024","Wed Jun 26 01:18:13 GMT 2024","722","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais caro",""
"passed","Wed Jun 26 01:18:13 GMT 2024","Wed Jun 26 01:18:14 GMT 2024","732","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o primeiro produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 01:18:17 GMT 2024","Wed Jun 26 01:18:18 GMT 2024","666","chromium","e2e/UserRegistration.spec.ts","","","","Sobrenome obrigatorio",""
"passed","Wed Jun 26 01:18:16 GMT 2024","Wed Jun 26 01:18:16 GMT 2024","362","chromium","e2e/Login.spec.ts","","","","não realizar login quando usuario em branco",""
