"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 21:58:25 BRT 2024","Wed Jun 19 21:58:28 BRT 2024","2595","chromium","e2e\UserRegistration.spec.ts","","","","Cep obrigatorio",""
"passed","Wed Jun 19 21:58:24 BRT 2024","Wed Jun 19 21:58:26 BRT 2024","1536","chromium","e2e\Login.spec.ts","","","","não realizar login quando senha em branco",""
"passed","Wed Jun 19 21:58:23 BRT 2024","Wed Jun 19 21:58:25 BRT 2024","1696","chromium","e2e\Login.spec.ts","","","","não realizar login com usuario incorreto",""
"passed","Wed Jun 19 21:58:23 BRT 2024","Wed Jun 19 21:58:25 BRT 2024","1632","chromium","e2e\Login.spec.ts","","","","não realizar login quando usuario em branco",""
"passed","Wed Jun 19 21:58:25 BRT 2024","Wed Jun 19 21:58:28 BRT 2024","2682","chromium","e2e\UserRegistration.spec.ts","","","","Primeiro nome obrigatorio",""
"passed","Wed Jun 19 21:58:23 BRT 2024","Wed Jun 19 21:58:24 BRT 2024","1519","chromium","e2e\Login.spec.ts","","","","realizar login com sucesso",""
"passed","Wed Jun 19 21:58:13 BRT 2024","Wed Jun 19 21:58:23 BRT 2024","10111","chromium","e2e\BuyProduct.spec.ts","","","","Comprar o produto mais caro",""
"passed","Wed Jun 19 21:58:13 BRT 2024","Wed Jun 19 21:58:23 BRT 2024","9874","chromium","e2e\BuyProduct.spec.ts","","","","Comprar o ultimo produto ordernado pelo alfabeto",""
"passed","Wed Jun 19 21:58:13 BRT 2024","Wed Jun 19 21:58:23 BRT 2024","10116","chromium","e2e\BuyProduct.spec.ts","","","","Comprar o primeiro produto ordernado pelo alfabeto",""
"passed","Wed Jun 19 21:58:13 BRT 2024","Wed Jun 19 21:58:23 BRT 2024","10191","chromium","e2e\BuyProduct.spec.ts","","","","Comprar o produto mais barato",""
"passed","Wed Jun 19 21:58:25 BRT 2024","Wed Jun 19 21:58:28 BRT 2024","2600","chromium","e2e\UserRegistration.spec.ts","","","","Sobrenome obrigatorio",""
"passed","Wed Jun 19 21:58:23 BRT 2024","Wed Jun 19 21:58:25 BRT 2024","1524","chromium","e2e\Login.spec.ts","","","","não realizar login com senha incorreto",""
